year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2012,0.011036889459726584,0.0073783714728796745,-0.036123770700718705,0.0,0.0,0.0,0.01208357370909896,0.012182635992063595,0.021006332387553117,-0.022100235035839466,0.0021629805990304174,-0.0006063717272731806,0.00566622057321764
2013,0.008972882685750472,-0.012264000497817285,-0.003963683168017429,-0.0020242533534667873,-0.005081985323816651,0.0,0.0,0.0011795432071408651,-0.01990777527150711,0.0034161083340884524,-0.011732940037962547,-0.0034039205051237253,-0.044223592307378046
2014,-0.0036907101110735807,0.02951506811970761,0.013120555231572295,0.014874447205878827,-0.00411478325463932,0.004273878195774072,-0.014855074204431662,0.0005367693818183472,0.0,0.0,0.0,0.0,0.039668682974486114
2015,0.011247367209266557,-0.013905165162464317,-0.0013085444863911722,0.0,-0.019825164924220706,0.00774262638124279,0.0,0.0,-0.006828354845571094,0.00338779367405051,-0.013913517206380455,-0.00024390945539787268,-0.03358694261782058
2016,-0.005433801438633035,0.025642996144829677,0.04811961921696928,0.04081476037281684,-0.03487086778443327,0.060539740679308895,-0.008196192463458707,-0.007704800137718237,0.003435215338692288,0.0009704045766945057,-0.029847183919913145,-0.00010407870919604267,0.0921914224015632
2017,0.012977437563049365,0.01684041820132176,-0.014312174930495969,0.005660906680688971,-0.0023488003756363396,-0.004665388075841936,0.011853236261070599,0.007731646064389919,-0.011172374715769373,0.006308098507011639,-0.001333543663189607,-0.00544346085119829,0.02177504053326018
2018,0.024776749545365906,-0.024545178534120193,-0.002212024638043264,-0.002535219061516769,0.0029328336293412693,-0.009416219478046273,0.0,-0.011945136775575627,0.0,-0.014116673175546213,-0.010630761784154452,0.005340392891165502,-0.04233539025919353
2019,0.014226515648835036,-0.009016190926946166,-0.005047803108212734,-0.005528022157765267,-0.005739610799291972,0.016571836339905444,-0.005160539842517298,-0.007618809768357937,-0.014340958474968857,0.00795290384055547,-0.022931358680207015,0.011185414541061922,-0.02593296635418907
2020,-0.029428466555276755,-0.00030825205374340747,-0.00037696238886930633,0.005498281781874281,0.01537241218357388,-0.001076622042532449,0.06538923530268392,0.012472831727993183,-0.02598734392040203,0.0059166820375968765,0.008916518365283732,0.03316604847468829,0.08971375861563646
2021,-0.020564904226754277,0.020151730480960195,-0.010848866671356094,0.019771153937824693,0.033112928278718146,-0.01011688436768532,0.0007200728198200057,-0.0005630428925297304,0.005868677400155731,0.006654875268736982,-0.03084830768334823,0.0035178717590484965,0.01518289712506693
2022,0.012246224979268083,0.04070589943225422,0.0580709877647847,-0.016603757827176602,-0.004162763055457042,-0.028104008616115506,0.0,-0.009244406043014575,-0.0326934893405304,0.013523691407025806,-0.002556745641060121,0.00013974627488777536,0.02796687120279251
2023,0.018919658304446862,-0.028937585307468483,-0.0011385637716356811,-0.00026888479105446894,-0.013808300821192443,0.012264437572233389,0.01815139951957412,-0.02719277572151224,-0.002777612144669761,-0.006919093266747334,0.011282263593250796,0.015277298841041231,-0.006646716054812041
2024,-0.013605449336946296,-0.0048017108893467775,0.011608032668645851,0.008263084064297432,0.00736067030276466,-0.0018824764779735714,-0.002025309332815306,0.00519327959478777,0.018471132171505644,-0.023661353600018975,-0.007891566350554546,-0.0003802281368820992,-0.0040778784873329865
2025,0.012561202525243287,0.000728327865676448,0.03982196872580679,-0.015431543519299762,2.2802120533071957e-05,0.011110890099655046,-0.011633235974385703,0.02044289955443057,0.033042428862044115,0.012541029760658962,0.022124569588492626,-0.0012384688173241454,0.12967713524469326
2026,0.07432838835266797,0.03340320470416236,-0.02367157204712589,0.01670783491131811,,,,,,,,,0.10204406759435103
